hour,load
2162,66000
2163,45800
2164,165900
2165,73000
2166,149300
2167,66500
2168,67200
2169,-171100
2170,129100
2171,131200
2172,115600
2173,-37100
2174,18500
2175,21200
2176,-53100
2177,81700
2178,97500
2179,99300
2180,-54300
2181,47200
2182,31700
2183,148600
2184,64800
2185,76600
2186,84700
2187,175900
2188,202800
2189,209100
2190,192300
2191,208300
2192,88300
2193,-172000
2194,100700
2195,79600
2196,-10500
2197,-86300
2198,-14300
2199,-21800
2200,-97100
2201,-59000
2202,-27000
2203,45900
2204,-91100
2205,79400
2206,2300
2207,6200
2208,87400
2209,94000
2210,15500
2211,98600
2212,106800
2213,26700
2214,25000
2215,125400
2216,32700
2217,-169800
2218,85900
2219,-3900
2220,-6700
2221,-95400
2222,66700
2223,64700
2224,-81400
2225,-34200
2226,78000
2227,-1800
2228,18600
2229,25900
2230,109100
2231,29300
2232,33000
2233,130800
2234,40200
2235,36300
2236,46700
2237,148400
2238,45900
2239,53400
2240,52300
2241,-146600
2242,10300
2243,95000
2244,87800
2245,-68800
2246,73500
2247,65800
2248,-85500
2249,29800
2250,-18400
2251,-17600
2252,-3700
2253,15100
2254,96000
2255,23000
2256,27700
2257,34200
2258,39100
2259,36400
2260,48800
2261,152900
2262,47500
2263,60300
2264,58600
2265,-148100
2266,3200
2267,-7000
2268,69700
2269,-102400
2270,-25600
2271,-28300
2272,-101500
2273,-5100
2274,30400
2275,-40200
2276,-16300
2277,5900
2278,86500
2279,13000
2280,109800
2281,125300
2282,31000
2283,23100
2284,33800
2285,131000
2286,30000
2287,136700
2288,42500
2289,-167100
2290,7200
2291,100700
2292,98200
2293,-67900
2294,1100
2295,85800
2296,-56200
2297,47400
2298,79200
2299,-5700
2300,-70600
2301,109600
2302,18100
2303,27500
2304,31100
2305,37300
2306,129500
2307,121700
2308,138500
2309,53100
2310,138800
2311,51600
2312,49700
2313,-183100
2314,89800
2315,89200
2316,1800
2317,-77400
2318,65700
2319,59300
2320,-85500
2321,23900
2322,51100
2323,-21000
2324,-4900
2325,105500
2326,20700
2327,130300
2328,40700
2329,148700
2330,56100
2331,159300
2332,179800
2333,178500
2334,166300
2335,71500
2336,62800
2337,-158800
2338,-7600
2339,52100
2340,46700
2341,-121000
2342,31800
2343,-33200
2344,-106600
2345,-78300
2346,29800
2347,-40300
2348,-13200
2349,98400
2350,106900
2351,25000
2352,139100
2353,151700
2354,47100
2355,152500
2356,63100
2357,70900
2358,61800
2359,73600
2360,63900
2361,-161100
2362,-5400
2363,-14500
2364,59700
2365,-108000
2366,46700
2367,44900
2368,-101500
2369,2600
2370,34100
2371,29900
2372,-100100
2373,72700
2374,-5300
2375,95000
2376,12800
2377,96000
2378,105800
2379,18800
2380,117500
2381,32100
2382,115800
2383,123300
2384,32700
2385,-185800
2386,-2000
2387,1100
2388,4700
2389,-61700
2390,99200
2391,10700
2392,-45500
2393,56700
2394,500
2395,-100
2396,23600
2397,118700
2398,22700
2399,33500
2400,126300
2401,44400
2402,48000
2403,127800
2404,140900
2405,144600
2406,133600
2407,52100
2408,51100
2409,-183300
2410,0
2411,73600
2412,64700
2413,-107500
2414,-28400
2415,-32700
2416,-110100
2417,-12600
2418,-40800
2419,29300
2420,-19700
2421,6300
2422,4700
2423,20300
2424,136100
2425,151400
2426,48400
2427,36600
2428,161200
2429,168300
2430,153400
2431,161000
2432,53000
2433,-155900
2434,13700
2435,106900
2436,99200
2437,-69200
2438,83100
2439,-6400
2440,-66200
2441,39400
2442,-15600
2443,74300
2444,16100
2445,21600
2446,17600
2447,119800
2448,122400
2449,128800
2450,125900
2451,27700
